Date,Conditions,China,Italy,Iran,South Korea,France,Spain,Germany,United States,Total
22-Jan,Infections,548,0,0,1,0,0,0,1,555
22-Jan,Recovered,0,0,0,0,0,0,0,0,28
22-Jan,Deaths,17,0,0,0,0,0,0,0,17
23-Jan,Infections,643,0,0,1,0,0,0,1,653
23-Jan,Recovered,2,0,0,0,0,0,0,0,30
23-Jan,Deaths,18,0,0,0,0,0,0,0,18
24-Jan,Infections,920,0,0,2,2,0,0,2,941
24-Jan,Recovered,5,0,0,0,0,0,0,0,36
24-Jan,Deaths,26,0,0,0,0,0,0,0,26
25-Jan,Infections,1406,0,0,2,3,0,0,2,1434
25-Jan,Recovered,7,0,0,0,0,0,0,0,39
25-Jan,Deaths,42,0,0,0,0,0,0,0,42
26-Jan,Infections,2075,0,0,3,3,0,0,5,2118
26-Jan,Recovered,7,0,0,0,0,0,0,0,52
26-Jan,Deaths,56,0,0,0,0,0,0,0,56
27-Jan,Infections,2877,0,0,4,3,0,1,5,2927
27-Jan,Recovered,13,0,0,0,0,0,0,0,61
27-Jan,Deaths,82,0,0,0,0,0,0,0,82
28-Jan,Infections,5509,0,0,4,4,0,4,5,5578
28-Jan,Recovered,21,0,0,0,0,0,0,0,107
28-Jan,Deaths,131,0,0,0,0,0,0,0,131
29-Jan,Infections,6087,0,0,4,5,0,4,5,6166
29-Jan,Recovered,32,0,0,0,0,0,0,0,126
29-Jan,Deaths,133,0,0,0,0,0,0,0,133
30-Jan,Infections,8141,0,0,4,5,0,4,5,8234
30-Jan,Recovered,45,0,0,0,0,0,0,0,143
30-Jan,Deaths,171,0,0,0,0,0,0,0,171
31-Jan,Infections,9802,2,0,11,5,0,5,7,9927
31-Jan,Recovered,73,0,0,0,0,0,0,0,222
31-Jan,Deaths,213,0,0,0,0,0,0,0,213
1-Feb,Infections,11891,2,0,12,6,1,8,8,12038
1-Feb,Recovered,107,0,0,0,0,0,0,0,284
1-Feb,Deaths,259,0,0,0,0,0,0,0,259
2-Feb,Infections,16630,2,0,15,6,1,10,8,16787
2-Feb,Recovered,168,0,0,0,0,0,0,0,472
2-Feb,Deaths,361,0,0,0,0,0,0,0,362
3-Feb,Infections,19716,2,0,15,6,1,12,11,19881
3-Feb,Recovered,228,0,0,0,0,0,0,0,623
3-Feb,Deaths,425,0,0,0,0,0,0,0,426
4-Feb,Infections,23707,2,0,16,6,1,12,11,23892
4-Feb,Recovered,321,0,0,0,0,0,0,0,852
4-Feb,Deaths,491,0,0,0,0,0,0,0,492
5-Feb,Infections,27440,2,0,19,6,1,12,11,27635
5-Feb,Recovered,482,0,0,0,0,0,0,0,1124
5-Feb,Deaths,563,0,0,0,0,0,0,0,564
6-Feb,Infections,30587,2,0,23,6,1,12,11,30817
6-Feb,Recovered,660,0,0,0,0,0,0,0,1487
6-Feb,Deaths,633,0,0,0,0,0,0,0,634
7-Feb,Infections,34110,3,0,24,6,1,13,11,34391
7-Feb,Recovered,884,0,0,1,0,0,0,0,2011
7-Feb,Deaths,718,0,0,0,0,0,0,0,719
8-Feb,Infections,36814,3,0,24,11,1,13,11,37120
8-Feb,Recovered,1157,0,0,1,0,0,0,0,2616
8-Feb,Deaths,805,0,0,0,0,0,0,0,806
9-Feb,Infections,39829,3,0,25,11,2,14,11,40150
9-Feb,Recovered,1424,0,0,3,0,0,0,3,3244
9-Feb,Deaths,905,0,0,0,0,0,0,0,906
10-Feb,Infections,42354,3,0,27,11,2,14,11,42762
10-Feb,Recovered,1696,0,0,3,0,0,0,3,3946
10-Feb,Deaths,1012,0,0,0,0,0,0,0,1013
11-Feb,Infections,44386,3,0,28,11,2,16,12,44802
11-Feb,Recovered,1997,0,0,3,0,0,0,3,4683
11-Feb,Deaths,1112,0,0,0,0,0,0,0,1113
12-Feb,Infections,44759,3,0,28,11,2,16,12,45221
12-Feb,Recovered,2396,0,0,7,2,0,0,3,5150
12-Feb,Deaths,1117,0,0,0,0,0,0,0,1118
13-Feb,Infections,59895,3,0,28,11,2,16,13,60368
13-Feb,Recovered,2758,0,0,7,2,0,1,3,6295
13-Feb,Deaths,1369,0,0,0,0,0,0,0,1371
14-Feb,Infections,66358,3,0,28,11,2,16,13,66885
14-Feb,Recovered,3203,0,0,7,2,0,1,3,8058
14-Feb,Deaths,1521,0,0,0,0,0,0,0,1523
15-Feb,Infections,68413,3,0,28,12,2,16,13,69030
15-Feb,Recovered,3675,0,0,9,4,2,1,3,9395
15-Feb,Deaths,1663,0,0,0,1,0,0,0,1666
16-Feb,Infections,70513,3,0,29,12,2,16,13,71224
16-Feb,Recovered,4116,0,0,9,4,2,1,3,10865
16-Feb,Deaths,1766,0,0,0,1,0,0,0,1770
17-Feb,Infections,72434,3,0,30,12,2,16,13,73258
17-Feb,Recovered,4600,0,0,10,4,2,1,3,12583
17-Feb,Deaths,1864,0,0,0,1,0,0,0,1868
18-Feb,Infections,74211,3,0,31,12,2,16,13,75136
18-Feb,Recovered,5078,0,0,12,4,2,12,3,14352
18-Feb,Deaths,2003,0,0,0,1,0,0,0,2007
19-Feb,Infections,74619,3,2,31,12,2,16,13,75639
19-Feb,Recovered,5625,0,0,12,4,2,12,3,16121
19-Feb,Deaths,2116,0,2,0,1,0,0,0,2122
20-Feb,Infections,75077,3,5,104,12,2,16,13,76197
20-Feb,Recovered,6226,0,0,16,4,2,12,3,18177
20-Feb,Deaths,2238,0,2,1,1,0,0,0,2247
21-Feb,Infections,75550,20,18,204,12,2,16,15,76823
21-Feb,Recovered,6823,0,0,16,4,2,14,5,18890
21-Feb,Deaths,2238,1,4,2,1,0,0,0,2251
22-Feb,Infections,77001,62,28,433,12,2,16,15,78579
22-Feb,Recovered,7400,1,0,16,4,2,14,5,22886
22-Feb,Deaths,2443,2,5,2,1,0,0,0,2458
23-Feb,Infections,77022,155,43,602,12,2,16,15,78965
23-Feb,Recovered,7844,2,0,18,4,2,14,5,23394
23-Feb,Deaths,2445,3,8,6,1,0,0,0,2469
24-Feb,Infections,77241,229,61,833,12,2,16,51,79568
24-Feb,Recovered,8267,1,0,18,4,2,14,5,25227
24-Feb,Deaths,2595,7,12,8,1,0,0,0,2629
25-Feb,Infections,77754,322,95,977,14,6,17,51,80413
25-Feb,Recovered,8705,1,0,22,11,2,14,6,27905
25-Feb,Deaths,2665,10,16,10,1,0,0,0,2708
26-Feb,Infections,78166,453,139,1261,18,13,27,57,81395
26-Feb,Recovered,9115,3,49,22,11,2,15,6,30384
26-Feb,Deaths,2717,12,19,12,2,0,0,0,2770
27-Feb,Infections,78600,655,245,1766,38,15,46,58,82754
27-Feb,Recovered,9547,45,49,22,11,2,16,6,33277
27-Feb,Deaths,2746,17,26,13,2,0,0,0,2814
28-Feb,Infections,78928,888,388,2337,57,32,48,60,84120
28-Feb,Recovered,9926,46,73,22,11,2,16,7,36711
28-Feb,Deaths,2790,21,34,13,2,0,0,0,2872
29-Feb,Infections,79356,1128,593,3150,100,45,79,68,86011
29-Feb,Recovered,10327,46,123,27,12,2,16,7,39782
29-Feb,Deaths,2837,29,43,16,2,0,0,1,2941
1-Mar,Infections,79932,1694,978,3736,130,84,130,74,88369
1-Mar,Recovered,10626,83,175,30,12,2,16,7,42716
1-Mar,Deaths,2872,34,54,17,2,0,0,1,2996
2-Mar,Infections,80136,2036,1501,4335,191,120,159,98,90306
2-Mar,Recovered,10920,149,291,30,12,2,16,7,45602
2-Mar,Deaths,2914,52,66,28,3,0,0,6,3085
3-Mar,Infections,80261,2502,2336,5186,204,165,196,118,92840
3-Mar,Recovered,11242,160,291,30,12,2,16,7,48228
3-Mar,Deaths,2947,79,77,28,4,1,0,7,3160
4-Mar,Infections,80386,3089,2922,5621,288,222,262,149,95120
4-Mar,Recovered,11444,276,552,41,12,2,16,7,51170
4-Mar,Deaths,2983,107,92,35,4,2,0,11,3254
5-Mar,Infections,80537,3858,3513,6088,380,259,482,217,97882
5-Mar,Recovered,11700,414,739,41,12,2,16,7,53796
5-Mar,Deaths,3015,148,107,35,6,3,0,12,3348
6-Mar,Infections,80690,4636,4747,6593,656,400,670,262,101784
6-Mar,Recovered,11911,523,913,135,12,2,17,7,55865
6-Mar,Deaths,3044,197,124,42,9,5,0,14,3460
7-Mar,Infections,80770,5883,5823,7041,952,500,799,402,105821
7-Mar,Recovered,12039,589,1669,135,12,30,18,7,58358
7-Mar,Deaths,3072,233,145,44,11,10,0,17,3558
8-Mar,Infections,80823,7375,6566,7314,1129,673,1040,518,109795
8-Mar,Recovered,12153,622,2134,118,12,30,18,7,60694
8-Mar,Deaths,3100,366,194,50,19,17,0,21,3802
9-Mar,Infections,80860,9172,7161,7478,1212,1073,1176,583,113561
9-Mar,Recovered,12316,724,2394,118,12,32,18,7,62494
9-Mar,Deaths,3123,463,237,53,19,28,2,22,3988
10-Mar,Infections,80887,10149,8042,7513,1787,1695,1457,959,118592
10-Mar,Recovered,12438,724,2731,247,12,32,18,8,64404
10-Mar,Deaths,3139,631,291,54,33,35,2,28,4262
11-Mar,Infections,80921,12462,9000,7755,2284,2277,1908,1281,125865
11-Mar,Recovered,12510,1045,2959,288,12,183,25,8,67003
11-Mar,Deaths,3161,827,354,60,48,54,3,36,4615
12-Mar,Infections,80932,12462,10075,7869,2284,2277,2078,1663,128343
12-Mar,Recovered,12583,1045,2959,333,12,183,25,12,68324
12-Mar,Deaths,3172,827,429,66,48,55,3,40,4720
13-Mar,Infections,80945,17660,11364,7979,3667,5232,3675,2179,145193
13-Mar,Recovered,64196,1439,2959,510,12,193,46,12,70251
13-Mar,Deaths,3180,1266,514,66,79,133,7,47,5404
14-Mar,Infections,80977,21157,12729,8086,4475,6391,4585,2726,156097
14-Mar,Recovered,65660,1966,2959,510,12,517,46,12,72624
14-Mar,Deaths,3193,1441,611,72,91,195,9,54,5819
15-Mar,Infections,81003,24747,13938,8162,4506,7798,5795,3495,167449
15-Mar,Recovered,67017,2335,4590,510,12,517,46,12,76034
15-Mar,Deaths,3203,1809,724,75,91,289,11,63,6440
16-Mar,Infections,81033,27980,14991,8236,6656,9942,7272,4626,181527
16-Mar,Recovered,67910,2749,4590,1137,12,530,67,17,78088
16-Mar,Deaths,3217,2158,853,75,148,342,17,85,7126
17-Mar,Infections,81058,31506,16169,8320,7687,11748,9257,6414,197142
17-Mar,Recovered,68798,2941,5389,1407,12,1028,67,17,80840
17-Mar,Deaths,3230,2503,988,81,148,533,24,108,7905
18-Mar,Infections,81102,35713,17361,8413,9090,13910,12327,7776,214910
18-Mar,Recovered,69755,4025,5389,1540,12,1081,105,17,83207
18-Mar,Deaths,3241,2978,1135,84,148,623,28,118,8733
19-Mar,Infections,81156,41035,18407,8565,10928,17963,15320,13669,242708
19-Mar,Recovered,70535,4440,5710,1540,12,1107,113,17,84854
19-Mar,Deaths,3249,3405,1284,91,243,830,44,200,9867
